;;31.01.2021;;06.02.2021;;13.02.2021;;14.02.2021 - 20.02.2021;;21.02.2021;;22.02.2021 - 26.02.2021;;27.02.2021;;28.02.2021 - 05.03.2021;;06.03.2021;;07.03.2021 - 12.03.2021;;13.02.2021 - 12.03.2021;;Info;13.03.2021;13.03.2021;14.03.2021 - 20.03.2021;14.03.2021 - 20.03.2021;21.03.2021;21.03.2021;22.03.2021 - 27.03.2021;22.03.2021 - 27.03.2021;28.03.2021;28.03.2021;29.03.2021 - 03.04.2021;29.03.2021 - 03.04.2021;04.04.2021;04.04.2021;05.04.2021 - 10.04.2021;05.04.2021 - 10.04.2021;13.03.2021 - 10.04.2021;;Info;11.04.2021;11.04.2021;12.04.2021 - 16.04.2021;12.04.2021 - 16.04.2021;17.04.2021;17.04.2021;18.04.2021 - 24.04.2021;18.04.2021 - 24.04.2021;25.04.2021;25.04.2021;26.04.2021 - 01.05.2021;26.04.2021 - 01.05.2021;02.05.2021;02.05.2021;03.05.2021 - 08.05.2021;03.05.2021 - 08.05.2021;11.04.2021 - 08.05.2021;;Info;09.05.2021;09.05.2021;10.05.2021 - 15.05.2021;10.05.2021 - 15.05.2021;16.05.2021;16.05.2021;17.05.2021 - 22.05.2021;17.05.2021 - 22.05.2021;23.05.2021;23.05.2021;24.05.2021 - 29.05.2021;;30.05.2021;;31.05.2021 - 05.06.2021;;09.05.2021 - 05.06.2021;;Info;06.06.2021;;07.06.2021 - 12.06.2021;;13.06.2021;;14.06.2021 - 19.06.2021;;20.06.2021;;21.06.2021 - 26.06.2021;;27.06.2021;;28.06.2021 - 03.07.2021;;06.06.2021 - 03.07.2021;;Info;04.07.2021;;05.07.2021 - 10.07.2021;;11.07.2021;;12.07.2021 - 17.07.2021;;18.07.2021;;19.07.2021 - 23.07.2021;;24.07.2021;;25.07.2021 - 31.07.2021;;04.07.2021 - 31.07.2021;;Info;01.08.2021;;02.08.2021 - 07.08.2021;;08.08.2021;;09.08.2021 - 13.08.2021;;14.08.2021;;15.08.2021 - 20.08.2021;;21.08.2021;;22.08.2021 - 28.08.2021;;01.08.2021 - 28.08.2021;;Info;29.08.2021;;30.08.2021 - 04.09.2021;;05.09.2021;;06.09.2021 - 11.09.2021;;12.09.2021;;13.09.2021 - 17.09.2021;;18.09.2021;;19.09.2021 - 25.09.2021;;29.08.2021 - 25.09.2021;;Info;26.09.2021;;27.09.2021 - 02.10.2021;;03.10.2021;;04.10.2021 - 09.10.2021;;10.10.2021;;11.10.2021 - 15.10.2021;;16.10.2021;;17.10.2021 - 23.10.2021;;26.09.2021 - 23.10.2021;;Info;24.10.2021;;25.10.2021 - 29.10.2021;;30.10.2021;;31.10.2021 - 04.11.2021;;05.11.2021;;06.11.2021 - 13.11.2021;;14.11.2021;;15.11.2021 - 19.11.2021;;24.10.2021 - 19.11.2021;;Info;20.11.2021;;21.11.2021 - 27.11.2021;;28.11.2021;;29.11.2021 - 03.12.2021;;04.12.2021;;05.12.2021 - 11.12.2021;;12.12.2021;;13.12.2021 - 17.12.2021;;20.11.2021 - 17.12.2021;;Info;18.12.2021;;19.12.2021 - 25.12.2021;;26.12.2021;;27.12.2021 - 02.01.2022;;03.01.2022;;04.01.2022 - 08.01.2022;;09.01.2022;;10.01.2022 - 14.01.2022;;18.12.2021 - 14.01.2022;;Info;15.01.2022;;16.01.2022 - 22.01.2022;;23.01.2022;;24.01.2022 - 28.01.2022;;29.01.2022;;30.01.2022 - 04.02.2022;;05.02.2022;;06.02.2022 - 11.02.2022;;15.01.2022 - 11.02.2022;;Info;12.02.2022;;13.02.2022 - 18.02.2022;;19.02.2022;;20.02.2022 - 25.02.2022;;26.02.2022;;27.02.2022 - 06.03.2022;;07.03.2022;;08.03.2022 - 12.03.2022;;12.02.2022 - 12.03.2022;;Info;13.03.2022;;14.03.2022 - 19.03.2022;;20.03.2022;;21.03.2022 - 26.03.2022;;27.03.2022;;28.03.2022 - 01.04.2022;;02.04.2022;;03.04.2022 - 09.04.2022;;13.03.2022 - 09.04.2022;;Info;10.04.2022;;11.04.2022 - 16.04.2022;;17.04.2022;;18.04.2022 - 23.04.2022;;24.04.2022;;25.04.2022 - 01.05.2022;;02.05.2022;;03.05.2022 - 08.05.2022;;10.04.2022 - 08.05.2022;;Info;09.05.2022;;10.05.2022 - 14.05.2022;;15.05.2022;;16.05.2022 - 21.05.2022;;22.05.2022;;23.05.2022 - 27.05.2022;;28.05.2022;;29.05.2022 - 03.06.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2022;;05.06.2022 - 12.06.2022;;13.06.2022;;14.06.2022 - 17.06.2022;;18.06.2022;;19.06.2022 - 25.06.2022;;26.06.2022;;27.06.2022 - 01.07.2022;;09.05.2022 - 03.06.2022;;Info;04.06.2021 - 01.07.2022;;Info
;Судак;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;229,99;0,400;;;;;;;;;;;;;229,99;0,400;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;209,99;0,400;209,99;0,400;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;303,29;0,706;;;;;;;303,29;0,706;;;;;;;;;;;;;;;;;;0,00;0,000;;743,27;1,506;
;Паста из морепродуктов;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;59,90;0,150;;;;;;;;;;;;;;;59,90;0,150;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;59,90;0,150;
;Пикша;;;;;;;;;;;;;;;300,00;0,952;;;;;300,00;0,952;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;541,99;0,600;;;;;;;;;;;541,99;0,600;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;841,99;1,552;
;Треска;;;;;;;333,64;1,192;;;;;;;;;;;;;333,64;1,192;;;;;;;;274,99;0,600;;;;;;;;;274,99;0,600;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;198,70;0,498;;;;;;;;;198,70;0,498;;;;;;;;;;;;;;;;204,75;0,512;204,75;0,512;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;254,04;0,834;;;;;254,04;0,834;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;1 266,12;3,636;
;Тунец;;;;;;;;;;;;;;;349,99;0,500;;;;;349,99;0,500;;;;;;;;;;;;;;;;319,99;0,500;319,99;0,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;377,94;0,500;;;;;377,94;0,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;459,99;0,500;;;;;;;;;;;;;459,99;0,500;;;;549,99;0,500;;;;;;;;;;;;;549,99;0,500;;;;;;;;569,99;0,500;;;;;;;;;569,99;0,500;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;2 627,89;3,000;
;Форель;;;;;;;;;1 081,29;2,710;;;;;;;;;;;1 081,29;2,710;;;;;;;;;;;;1 690,31;2,820;;;;;1 690,31;2,820;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;1 054,33;1,466;;;;;;;;;1 054,33;1,466;;;;;;;;574,90;1,246;;;;;;;;;574,90;1,246;;;;;;;;;;;;;;;;;;0,00;0,000;;455,99;0,846;;;;;;;;;;;;;599,80;1,202;1 055,79;2,048;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;1 046,52;1,562;;;;;;;1 046,52;1,562;;;;;;;;3 116,88;3,120;;;;;;;;;3 116,88;3,120;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;9 620,02;14,972;
;Слабосоленая рыба;;;;;;;;;;;;;;;199,99;0,200;;;;;199,99;0,200;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;436,70;0,250;;;;;;;;;;;436,70;0,250;;;;229,00;0,200;;;;;;;;;;;;;229,00;0,200;;;;239,00;0,200;;;;;;;;;;;;;239,00;0,200;;;;;;;;;;;;;;;;;;0,00;0,000;;249,00;0,200;;;;;;;;;;;229,00;0,200;;;478,00;0,400;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;329,99;0,250;;;;;;;;;329,99;0,250;;;;;;;;;;;;220,93;0,170;;;199,90;0,100;420,83;0,270;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;499,00;0,250;;;;;;;;;499,00;0,250;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;2 832,51;2,020;
;Хек;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;225,85;0,872;;;;;225,85;0,872;;;;;;;;;;;;195,41;0,724;;;;;195,41;0,724;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;421,26;1,596;
Соусы;Брусничный соус;;;;;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;101,00;0,230;101,00;0,230;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;68,07;0,230;;;;;;;;;;;;;68,07;0,230;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;169,07;0,460;Макс.
;Горчица;36,99;1;;;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;;;;;;;;;;;;;0,00;0;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;39,99;0,190;;;;;;;;;39,99;0,200;79,98;0,390;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Соевый соус;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Сальса, терияки;;;;;38,99;0,190;;;;;;;;;;;38,99;0,190;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;169,00;0,200;;;;;;;;;;;;;;;169,00;0,200;Хрен;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Соевый соус;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;;;;;;;;;;;;;;;;;0,00;0,000;Майонез;287,97;0,780;Майонез
;Кетчуп;44,99;1;;;;;79,90;1;;;;;;;;;;;;;79,90;1;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;39,90;0,350;;;;;;;;;;;;;49,90;0,300;89,80;0,650;;;;;;59,90;0,500;;;;;;;;;;;59,90;0,500;;;;;;44,99;0,350;;;;;;;44,99;0,350;;;89,98;0,700;;;;;;;;;;;;;;130,18;0,700;;;130,18;0,700;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;49,90;0,350;;;;;;;;;;;49,90;0,350;;;;;;44,90;0,400;;;;;;;;;65,90;0,350;110,80;0,750;;;;;;44,99;0,350;;;;;;;;;;;44,99;0,350;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;39,90;0,260;;;;;;;39,90;0,260;;;;;;;;;;;;;;;;54,99;0,330;54,99;0,330;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;159,80;0,640;159,80;0,640;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;910,14;6,230;
;Майонез;;;52,99;1;46,99;1;;;;;69,90;1;;;;;;;;;116,89;2;;;;39,99;0,233;38,90;0,233;;;;;109,90;0,480;82,99;0,372;;;271,78;1,318;;;;;;;;52,50;0,192;;;49,03;0,400;;;42,99;0,220;144,52;0,812;;;;;;;;;;;;149,80;0,608;;;;;149,80;0,608;;;;;;42,99;0,220;;;;;54,90;0,233;;;;;97,89;0,453;;39,99;0,220;;;66,99;0,400;;;;;75,90;0,400;;;;;182,88;1,020;;;;;;;;75,90;0,400;;;;;95,99;0,375;;;171,89;0,775;;;;75,90;0,400;;;;;;;;;;;104,90;0,400;180,80;0,800;;;;;;72,99;0,400;;;;;;;53,01;0,190;;;126,00;0,590;;;;59,90;0,233;57,90;0,350;65,49;0,233;;;;;;;;;183,29;0,816;;89,90;0,400;;;;;104,90;0,400;;;;;79,99;0,400;;;274,79;1,200;;;;;;;;129,99;0,820;;;;;;;;;129,99;0,820;;85,90;0,400;;;;;;;;;84,90;0,400;;;;;170,80;0,800;;;;109,90;0,400;;;;;;;139,90;0,700;;;;;249,80;1,100;;;;;;;;89,90;0,233;;;;;;;75,00;0,234;164,90;0,467;;;;;;;;;;;;;;94,99;0,400;68,90;0,233;163,89;0,633;;94,99;0,400;;;;;99,90;0,400;;;;;95,99;0,400;;;290,88;1,200;;55,99;0,220;;;;;;;;;94,99;0,420;;;;;150,98;0,640;;3 221,77;16,052;
;Маринад;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;123,61;0,300;;;;;;;;;;;;;;;123,61;0,300;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;148,99;0,300;;;;;148,99;0,300;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;272,60;0,600;
;Сальса, терияки;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;80,49;0,230;;;;;;;;;;;;;;;80,49;0,230;;;;;;;;;;157,15;0,460;;;;;;;157,15;0,460;;;;;;;;80,99;0,230;;;;;;;69,90;0,230;150,89;0,460;;;;;;;;109,98;0,460;;;;;;;;;109,98;0,460;;;;107,03;0,230;;;;;;;;;;;;;107,03;0,230;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;94,99;0,230;;;59,90;0,230;;;;;154,89;0,460;;;;;;59,90;0,220;59,90;0,200;;;;;;;;;119,80;0,420;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;880,23;2,720;
;Соевый соус;;;75,00;1;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;392,88;0,300;;;392,88;0,300;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;291,39;0,150;;;;;291,39;0,150;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;77,99;0,250;;;;;;;;;;;;;;;77,99;0,250;;;;;;;;;;;;;;;;;;0,00;0,000;;762,26;0,700;
;Хрен;;;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;23,99;0,200;;;;;;;;;23,99;0,200;;;;;;20,99;0,140;;;;;51,90;0,150;20,99;0,140;;;93,88;0,430;;;;;;20,99;0,140;;;;;;;;;;;20,99;0,140;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;169,00;0,190;;;;;;;;;;;20,99;0,140;;;189,99;0,330;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;21,99;0,140;;;21,99;0,140;;;;;;;;;;;;;;;;;;0,00;0,000;;350,84;1,240;
Бакалея;Бананы сушеные;;;;;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;217,99;0,200;;;217,99;0,200;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;;;;;;;0,00;0,000;Макс.;;;;;;;;;;;144,99;0,200;;;;;144,99;0,200;Макс.;362,98;0,400;Макс.
;Злаковый батончик;;;;;;;198,28;6;;;19,65;1;;;;;;;;;217,93;7;Орехи, семечки;;;276,25;5;;;;;92,77;5;;;;;;;369,02;10;Орехи, семечки;22,90;1;;;;;45,20;2;43,99;1;;;;;;;112,09;4;Орехи, семечки;;;;;;;;;;;36,00;1;;;;;36,00;1;Макароны;119,50;5;;;;;71,70;3;98,50;5;;;;;;;289,70;13;Макароны;29,80;2;;;;;40,81;1;;;;;67,98;2;;;138,59;5;Орехи, семечки;;;;;50,74;1;;;68,70;3;143,70;3;139,56;4;;;402,70;11;Макароны;75,99;3;;;;;;;;;83,80;2;;;;;159,79;5;Орехи, семечки;;;103,60;4;;;132,80;3;46,56;2;;;223,68;8;;;506,64;17;Готовые завтраки;117,98;2;;;;;;;27,90;1;74,82;2;;;63,90;1;284,60;6;Орехи, семечки;;;;;;;;;;;;;;;;;0,00;0;Орехи, семечки;196,20;7;;;;;;;;;;;;;;;196,20;7;Орехи, семечки;;;;;;;;;;;;;;;;;0,00;0,000;Орехи, семечки;;;59,99;1;;;40,00;1;;;39,99;1;;;59,80;2;199,78;5,000;Макароны;;;;;;;;;;;;;;;;;0,00;0,000;Курага;;;;;;;;;;;;;;;;;0,00;0,000;Чернослив;;;;;;;;;;;;;;;;;0,00;0,000;Макароны;78,98;2;;;;;;;;;;;;;;;78,98;2,000;Хлебцы;2 992,02;93,000;Орехи, семечки
;Булгур;;;;;;;;;;;;;58,99;0,250;;;;;;;58,99;0,250;;;;69,90;0,450;;;;;95,29;0,500;;;;;;;165,19;0,950;;;;;;;;69,99;0,450;;;;;;;;;69,99;0,450;;;;;;;;;;;;;;69,99;0,400;;;69,99;0,400;;;;;;;;;;;;;;;;;;0,00;0,000;;69,99;0,400;;;;;;;;;;;;;;;69,99;0,400;;69,99;0,400;;;52,62;0,500;;;;;;;;;;;122,61;0,900;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;69,99;0,400;;;;;;;;;;;69,99;0,400;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;62,03;0,500;;;;;;;;;;;62,03;0,500;;69,99;0,500;;;;;;;;;;;;;;;69,99;0,500;;69,99;0,500;;;;;;;75,99;0,250;99,99;0,400;;;;;245,97;1,150;;97,99;0,400;;;97,99;0,400;;;;;;;;;;;195,98;0,800;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;119,99;0,400;;;;;;;119,99;0,400;;;;;;;;;;;;;;;;;;0,00;0,000;;1 320,71;7,100;
;Галеты (крекеры);;;133,98;0,320;;;;;92,80;0,345;;;;;;;;;59,00;0,160;151,80;0,505;;149,70;0,480;;;99,80;0,320;;;93,78;0,320;;;;;;;343,28;;;69,99;0,066;;;;;;;;;;;;;;;69,99;0,066;;;;;;292,67;0,630;;;;;;;133,98;0,320;;;426,65;0,950;;;;;;;;;;149,70;0,480;;;69,99;0,066;;;219,69;0,546;;49,90;0,160;;;;;;;66,99;0,160;;;66,99;0,160;;;183,88;0,480;;;;;;62,96;0,160;;;66,99;0,160;;;;;;;129,95;0,320;;34,99;0,185;;;51,38;0,160;;;62,99;0,160;47,90;0,185;62,99;0,160;;;260,25;0,850;;87,98;0,320;;;;;;;95,78;0,320;;;;;;;183,76;0,640;;;;;;;;82,63;0,320;62,99;0,160;;;;;;;145,62;0,480;;62,99;0,160;;;;;;;;;;;;;;;62,99;0,160;;;;;;;;52,49;0,185;;;138,00;0,320;;;;;190,49;0,505;;66,99;0,160;;;;;;;45,90;0,160;;;;;;;112,89;0,320;;;;;;;;;;137,70;0,320;;;163,49;0,320;;;301,19;0,640;;;;;;159,75;0,470;;;;;59,90;0,185;248,97;0,480;;;468,62;1,135;;;;;;82,99;0,160;;;224,28;0,640;;;;;;;307,27;0,800;;;;;;;;;;;;;;;;;;0,00;0,000;;119,80;0,320;;;;;;;;;;;;;158,00;0,320;277,80;0,640;;3 836,12;9,037;
;Гречка;78,99;0,800;;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;128,99;0,900;128,99;0,900;;78,99;0,800;;;;;;;;;;;;;;;78,99;0,800;;;;;;;;;;78,99;0,800;;;;;;;78,99;0,800;;78,99;0,800;;;;;;;117,89;0,900;;;;;;;196,88;1,700;;78,99;0,800;;;;;;;;;;;;;;;78,99;0,800;;78,99;0,800;;;;;;;69,32;0,800;;;;;54,90;0,400;203,21;2,000;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;;;;;;;;;0,00;0,000;;99,99;0,800;;;99,99;0,800;;;;;119,99;0,900;99,99;0,800;;;419,96;3,300;;;;;;;;;;;;;;;;;;0,00;0,000;;;;;;;;;;96,26;0,800;;;;;;;96,26;0,800;;;;;;;;;;279,78;1,800;;;;;;;279,78;1,800;;;;;;;;;;;;;;;;;;0,00;0,000;;1 562,05;12,900;
